"predTrain_4","predTrain_23","predTrain_67","predTrain_92","predTrain_116","predTrain_122","predTrain_214","predTrain_218","predTrain_233","predTrain_252","predTrain_258","predTrain_270","predTrain_336","predTrain_343","predTrain_363","predTrain_369","predTrain_373","predTrain_376","predTrain_377","predTrain_379","predTrain_388","predTrain_390","predTrain_393","predTrain_395","predTrain_404","predTrain_414","predTrain_445","predTrain_475","predTrain_496","predTrain_497","predTrain_511","predTrain_524","predTrain_536","predTrain_546","predTrain_547","predTrain_548","predTrain_560","predTrain_567","predTrain_585","predTrain_589","predTrain_597","predTrain_600","predTrain_616","predTrain_624","predTrain_650","predTrain_658","predTrain_684","predTrain_708","predTrain_740","predTrain_744","predTrain_765","predTrain_767","predTrain_769","predTrain_771","predTrain_780","predTrain_786","predTrain_792","predTrain_841","predTrain_842","predTrain_845","predTrain_896","predTrain_921","predTrain_924","predTrain_927","predTrain_933","predTrain_934","predTrain_1006","predTrain_1040","predTrain_1070","predTrain_1093","predTrain_1110","predTrain_1142","predTrain_1186","predTrain_1188","predTrain_1240","predTrain_1257","predTrain_1266","predTrain_1314","predTrain_1331","predTrain_1444","predTrain_1486","predTrain_1498","predTrain_1508","predTrain_1557","predTrain_1770","predTrain_1771","predTrain_1857","predTrain_1914","predTrain_2051","predTrain_2060","predTrain_2167","predTrain_2184","predTrain_2294","predTrain_2298","predTrain_2460","predTrain_2492","predTrain_2609","predTrain_2684","predTrain_2744","predTrain_2816","predTrain_2839","predTrain_2941","predTrain_2948","predTrain_3010","predTrain_3050","predTrain_3571","predTrain_3760","predTrain_5925","time","status"
"TCGA-Y8-A8RY",1,1,1,1,1,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.996672216054523,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.993686679949669,0.959749147519617,0.959749147519617,0.959749147519617,0.959749147519617,0.954962378676558,0.954962378676558,0.954962378676558,0.954962378676558,0.954962378676558,0.954962378676558,0.954962378676558,0.954962378676558,0.954962378676558,0.952577954501972,0.952577954501972,0.952577954501972,0.952577954501972,0.947826952133301,0.919814432274658,0.879340281008316,0.879340281008316,0.863545808216606,0.863545808216606,0.863545808216606,0.863545808216606,0.863545808216606,0.863545808216606,0.863545808216606,0.863545808216606,0.863545808216606,0.863545808216606,0.863545808216606,0.837186567298194,0.726754413476387,0.726754413476387,0.726754413476387,0.726754413476387,0.670399850791309,0.670399850791309,0.670399850791309,0.670399850791309,0.670399850791309,0.670399850791309,0.670399850791309,769,0
"TCGA-GL-A9DE",1,1,1,1,1,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.993355506255034,0.993355506255034,0.993355506255034,0.985768899858551,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.984537458544893,0.979627057484817,0.977181048626141,0.977181048626141,0.977181048626141,0.972307337813601,0.972307337813601,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.955439979256091,0.907896403456082,0.907896403456082,0.907896403456082,0.907896403456082,0.873752317276133,0.873752317276133,0.873752317276133,0.873752317276133,0.873752317276133,0.873752317276133,0.873752317276133,0.873752317276133,0.873752317276133,0.865058336457185,0.865058336457185,0.865058336457185,0.865058336457185,0.850760179796058,0.800548362237078,0.741157840189722,0.741157840189722,0.721955579177694,0.721955579177694,0.721955579177694,0.721955579177694,0.721955579177694,0.721955579177694,0.721955579177694,0.721955579177694,0.721955579177694,0.721955579177694,0.721955579177694,0.704306487030174,0.641144768286722,0.641144768286722,0.641144768286722,0.641144768286722,0.60337626665874,0.60337626665874,0.60337626665874,0.60337626665874,0.60337626665874,0.60337626665874,0.60337626665874,496,0
"TCGA-2Z-A9JN",1,1,1,1,1,1,1,1,1,1,1,1,0.995427154110288,0.995427154110288,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.994183647521183,0.981342905764761,0.981342905764761,0.981342905764761,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.97807720859795,0.963515536043476,0.963515536043476,0.963515536043476,0.963515536043476,0.944436650140262,0.944436650140262,0.944436650140262,0.944436650140262,0.944436650140262,0.944436650140262,0.944436650140262,0.944436650140262,0.944436650140262,0.944436650140262,0.944436650140262,0.944436650140262,0.944436650140262,0.944436650140262,0.944436650140262,0.91104164736752,0.91104164736752,0.905931424078293,0.905931424078293,0.905931424078293,0.905931424078293,0.905931424078293,0.905931424078293,0.905931424078293,0.905931424078293,0.905931424078293,0.905931424078293,0.905931424078293,0.878278386525884,0.869539370565439,0.869539370565439,0.869539370565439,0.869539370565439,0.843238070339447,0.843238070339447,0.843238070339447,0.843238070339447,0.843238070339447,0.843238070339447,0.843238070339447,740,0
"TCGA-SX-A7SQ",1,1,1,1,1,1,1,1,1,1,0.995012479192682,0.995012479192682,0.995012479192682,0.995012479192682,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.993769490623395,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.990462440466994,0.985522488436298,0.985522488436298,0.985522488436298,0.985522488436298,0.975716375832423,0.975716375832423,0.975716375832423,0.975716375832423,0.975716375832423,0.975716375832423,0.975716375832423,0.975716375832423,0.975716375832423,0.975716375832423,0.975716375832423,0.975716375832423,0.975716375832423,0.975716375832423,0.963595832350446,0.95400789361995,0.95400789361995,0.95400789361995,0.95400789361995,0.95400789361995,0.95400789361995,0.95400789361995,0.95400789361995,0.95400789361995,0.95400789361995,0.95400789361995,0.95400789361995,0.95400789361995,0.938865231659789,0.870481881985058,0.870481881985058,0.870481881985058,0.870481881985058,0.865521884719629,0.865521884719629,0.865521884719629,0.865521884719629,0.865521884719629,0.865521884719629,0.865521884719629,1266,0
"TCGA-BQ-7060",1,1,1,1,1,1,1,1,1,1,1,1,1,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.998334721450939,0.993355506255034,0.993355506255034,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.988401124998524,0.971254575213673,0.971254575213673,0.971254575213673,0.971254575213673,0.952022446067558,0.952022446067558,0.952022446067558,0.952022446067558,0.952022446067558,0.952022446067558,0.952022446067558,0.952022446067558,0.952022446067558,0.947274214308763,0.947274214308763,0.947274214308763,0.947274214308763,0.942549664454662,0.933171138593673,0.933171138593673,0.933171138593673,0.923885930624188,0.923885930624188,0.923885930624188,0.923885930624188,0.923885930624188,0.923885930624188,0.923885930624188,0.923885930624188,0.923885930624188,0.923885930624188,0.923885930624188,0.9137788760998,0.90412137188568,0.90412137188568,0.90412137188568,0.90412137188568,0.894486067065594,0.894486067065594,0.894486067065594,0.894486067065594,0.894486067065594,0.894486067065594,0.894486067065594,214,0
"TCGA-MH-A855",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.997087582673249,0.98716639545901,0.982242882521373,0.982242882521373,0.982242882521373,0.982242882521373,0.982242882521373,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.979790342267752,0.834922254652543,0.834922254652543,0.834922254652543,0.834922254652543,0.834922254652543,0.834922254652543,0.834922254652543,0.834922254652543,0.834922254652543,0.832837555975039,0.832837555975039,0.832837555975039,0.832837555975039,0.820438220140845,0.814307950735669,0.79738578836006,0.79738578836006,0.776349263847563,0.776349263847563,0.776349263847563,0.776349263847563,0.776349263847563,0.776349263847563,0.776349263847563,0.776349263847563,0.776349263847563,0.776349263847563,0.776349263847563,0.723785703077283,0.720175806823146,0.720175806823146,0.720175806823146,0.720175806823146,0.681148996272309,0.681148996272309,0.681148996272309,0.681148996272309,0.681148996272309,0.681148996272309,0.681148996272309,369,0
"TCGA-2Z-A9JL",1,1,1,1,1,1,1,1,1,1,1,0.995012479192682,0.990049833749168,0.988813044611233,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.98593320836719,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.983471453821617,0.977954956587785,0.977954956587785,0.977954956587785,0.977954956587785,0.968224142183912,0.968224142183912,0.968224142183912,0.968224142183912,0.968224142183912,0.968224142183912,0.968224142183912,0.968224142183912,0.968224142183912,0.968224142183912,0.968224142183912,0.968224142183912,0.968224142183912,0.968224142183912,0.958590151001112,0.924848813216205,0.924848813216205,0.901826314602953,0.901826314602953,0.901826314602953,0.901826314602953,0.901826314602953,0.901826314602953,0.901826314602953,0.901826314602953,0.901826314602953,0.901826314602953,0.901826314602953,0.865599166909382,0.824928689516259,0.824928689516259,0.824928689516259,0.824928689516259,0.799976746151243,0.799976746151243,0.799976746151243,0.799976746151243,0.799976746151243,0.799976746151243,0.799976746151243,1006,0
"TCGA-BQ-7062",1,1,1,1,1,1,1,1,1,1,1,0.990875219140107,0.990875219140107,0.990875219140107,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.981833699905954,0.976936783898348,0.976936783898348,0.976936783898348,0.976936783898348,0.972064291361221,0.972064291361221,0.972064291361221,0.972064291361221,0.972064291361221,0.972064291361221,0.972064291361221,0.972064291361221,0.972064291361221,0.972064291361221,0.972064291361221,0.972064291361221,0.972064291361221,0.972064291361221,0.967216100482006,0.957592139481729,0.957592139481729,0.956993831385309,0.956993831385309,0.956993831385309,0.956993831385309,0.956993831385309,0.956993831385309,0.956993831385309,0.956993831385309,0.956993831385309,0.956993831385309,0.956993831385309,0.909410825796565,0.864517843918412,0.864517843918412,0.864517843918412,0.864517843918412,0.851038748070453,0.851038748070453,0.851038748070453,0.851038748070453,0.851038748070453,0.851038748070453,0.851038748070453,116,0
"TCGA-G7-6797",1,1,1,1,1,1,1,1,1,1,1,0.991701292638876,0.989719872134576,0.989719872134576,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.976041668836856,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.96632989196419,0.951943114169261,0.951943114169261,0.951943114169261,0.951943114169261,0.942471121921942,0.942471121921942,0.942471121921942,0.942471121921942,0.942471121921942,0.942471121921942,0.942471121921942,0.942471121921942,0.942471121921942,0.93777052759106,0.93777052759106,0.93777052759106,0.93777052759106,0.933093377572211,0.9146168907676,0.901000019257793,0.901000019257793,0.873728046715523,0.873728046715523,0.873728046715523,0.873728046715523,0.873728046715523,0.873728046715523,0.873728046715523,0.873728046715523,0.873728046715523,0.873728046715523,0.873728046715523,0.795453207867506,0.791485868442019,0.791485868442019,0.791485868442019,0.791485868442019,0.73744959439825,0.73744959439825,0.73744959439825,0.73744959439825,0.73744959439825,0.73744959439825,0.73744959439825,765,0
"TCGA-2Z-A9J1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.969637165803892,0.969637165803892,0.969637165803892,0.969637165803892,0.964801080263896,0.964801080263896,0.964801080263896,0.964801080263896,0.964801080263896,0.964801080263896,0.964801080263896,0.964801080263896,0.964801080263896,0.964801080263896,0.964801080263896,0.964801080263896,0.964801080263896,0.964801080263896,0.95281612876114,0.948063938493396,0.948063938493396,0.947471583662004,0.947471583662004,0.947471583662004,0.947471583662004,0.947471583662004,0.947471583662004,0.947471583662004,0.947471583662004,0.947471583662004,0.947471583662004,0.947471583662004,0.903368251252956,0.823040392436258,0.823040392436258,0.823040392436258,0.823040392436258,0.784299523968656,0.784299523968656,0.784299523968656,0.784299523968656,0.784299523968656,0.784299523968656,0.784299523968656,2298,0
